[ 33, 34, 11, 31, 10, 38, 24, 14, 21, 38, 17, 19 ]
[ 11, 30, 7, 22, 5, 16, 11, 8, 3, 33, 7, 11 ]

[ 30, 40, 23, 30, 47, 34, 43, 36, 41, 26, 44, 24 ]
[ 10, 33, 8, 10, 8, 7, 11, 22, 11, 19, 3, 19 ]

[ 5, 15, 20, 18, 17, 23, 12, 15, 18, 24, 22, 20 ]
[ 4, 2, 14, 18, 7, 8, 7, 11, 10, 15, 12, 9 ]

[ 21, 14, 29, 23, 15, 12, 14, 24, 35, 28, 28, 21 ]
[ 5, 6, 8, 8, 15, 2, 4, 22, 26, 2, 25, 11 ]

[ 18, 20, 15, 19, 21, 23, 16, 17, 23, 23, 22, 18 ]
[ 15, 17, 7, 8, 9, 15, 9, 2, 13, 12, 18, 10 ]

[ 13, 22, 23, 13, 15, 21, 15, 18, 13, 12, 10, 12 ]
[ 5, 10, 3, 13, 7, 15, 4, 12, 5, 9, 8, 7 ]
